N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
6961,7393,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241098,19.073727,URBANO
6962,7394,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241567,19.073715,URBANO
6963,7395,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242125,19.073717,URBANO
6964,7396,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242523,19.073726,URBANO
6965,7397,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242662,19.073463,URBANO
6966,7398,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242704,19.07298,URBANO
6967,7399,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242745,19.072494,URBANO
6968,7400,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24277,19.072112,URBANO
6969,7401,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242825,19.071591,URBANO
6970,7402,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242871,19.071125,URBANO
6971,7403,ZARAGOZA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.245169,19.071935,URBANO
6972,7404,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.245102,19.072335,URBANO
6973,7405,PRIVADA 1A DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244722,19.072746,URBANO
6974,7406,PRIVADA 1A DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244575,19.073226,URBANO
6975,7407,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244172,19.072694,URBANO
6976,7408,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243878,19.072994,URBANO
6977,7409,PRIVADA HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24336,19.07298,URBANO
6978,7410,PRIMERA DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243867,19.073403,URBANO
6979,7411,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243619,19.073255,URBANO
6980,7412,HOMBRES ILUSTRES,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243466,19.073782,URBANO
6981,7413,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243126,19.073763,URBANO
6982,7414,CONSTITUCION,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243969,19.074517,URBANO
6983,7415,PRIVADA CONSTITUCION,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243921,19.074088,URBANO
6984,7415,PRIVADA CONSTITUCION,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.243921,19.074088,URBANO
6985,7416,PRIVADA 1A DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244243,19.074283,URBANO
6986,7417,PRIVADA 1A DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244347,19.07396,URBANO
6987,7418,PRIVADA 1A DE MAYO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.244435,19.073681,URBANO
